id,match_id,event_type,match_time_seconds,half,player_id,players_on_field,created_at
348d950f-6b98-4a15-ab14-a4a3bcdc13a7,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,shot,628,2,80405a0d-8bd4-42bc-bc52-624341e4053d,"[""437901cc-63ae-4dd5-ab0e-d84076e529c1"", ""a824fa91-f2c5-4f5f-a948-dd2784076ebd"", ""f84944a3-fea5-4571-b589-7e6cf37af286"", ""80405a0d-8bd4-42bc-bc52-624341e4053d"", ""6b3978a3-97ec-4ae7-998b-435a0e681d80""]",2025-08-09T22:11:11.905582
fbdf9d2b-31b5-47b0-be97-69078b8b3b34,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,ball_loss,656,2,57f5858d-a561-4e84-b86b-20fe0ee2c00f,"[""ed1b17ce-3770-49ed-b478-e6d91847e319"", ""551cd810-e6d3-4196-b540-557bdee0386a"", ""3ead9336-738f-49e8-a94f-714be9fd3431"", ""57f5858d-a561-4e84-b86b-20fe0ee2c00f"", ""bf71f67c-beb7-4fa8-bfd2-0ae15bb917c2""]",2025-08-09T22:11:11.907959
0d30b8a4-b90d-456d-aebd-ae82d5e7feab,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,opponent_shot,1186,1,,[],2025-08-09T22:11:11.906484
d1c9ffb0-91cf-42ea-bd24-7b619ec14c94,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,shot,961,1,6b3978a3-97ec-4ae7-998b-435a0e681d80,"[""ed1b17ce-3770-49ed-b478-e6d91847e319"", ""80405a0d-8bd4-42bc-bc52-624341e4053d"", ""6b3978a3-97ec-4ae7-998b-435a0e681d80"", ""551cd810-e6d3-4196-b540-557bdee0386a"", ""3ead9336-738f-49e8-a94f-714be9fd3431""]",2025-08-09T22:11:11.906302
14f97e87-5402-4b8a-9cc9-1e0f5eaaa70a,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,opponent_shot,957,1,,[],2025-08-09T22:11:11.905733
797f0b55-6491-43e1-9772-4ab5a872f449,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,shot,478,2,bf71f67c-beb7-4fa8-bfd2-0ae15bb917c2,"[""ed1b17ce-3770-49ed-b478-e6d91847e319"", ""57f5858d-a561-4e84-b86b-20fe0ee2c00f"", ""bf71f67c-beb7-4fa8-bfd2-0ae15bb917c2"", ""782aecb1-d49b-4a85-ac7f-cb19ff149672"", ""8b8d9730-f186-45cf-bdd7-59cbd0bd5f43""]",2025-08-09T22:11:11.905645
237b6d0f-c709-4976-be88-52cdcc179418,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,opponent_shot_on_target,307,1,,[],2025-08-09T22:11:11.905422
841a09ca-e84c-433c-8634-bd052c0bb8ad,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,shot_on_target,785,2,8b8d9730-f186-45cf-bdd7-59cbd0bd5f43,"[""437901cc-63ae-4dd5-ab0e-d84076e529c1"", ""782aecb1-d49b-4a85-ac7f-cb19ff149672"", ""8b8d9730-f186-45cf-bdd7-59cbd0bd5f43"", ""a824fa91-f2c5-4f5f-a948-dd2784076ebd"", ""f84944a3-fea5-4571-b589-7e6cf37af286""]",2025-08-09T22:11:11.906292
4bd356f2-e646-4ac7-85a6-b23106a4c017,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,opponent_shot_on_target,406,1,,[],2025-08-09T22:11:11.906634
c58a46b7-b036-4d54-bf25-f40848a33095,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,opponent_shot,1156,2,,[],2025-08-09T22:11:11.905674
933342c7-1ab3-40a7-86fd-f85e9b6ffdaa,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,ball_loss,1054,1,8b8d9730-f186-45cf-bdd7-59cbd0bd5f43,"[""437901cc-63ae-4dd5-ab0e-d84076e529c1"", ""57f5858d-a561-4e84-b86b-20fe0ee2c00f"", ""bf71f67c-beb7-4fa8-bfd2-0ae15bb917c2"", ""782aecb1-d49b-4a85-ac7f-cb19ff149672"", ""8b8d9730-f186-45cf-bdd7-59cbd0bd5f43""]",2025-08-09T22:11:11.907571
ccb7fccc-8ce8-42db-9148-9017e313c7df,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,recovery,1198,2,f84944a3-fea5-4571-b589-7e6cf37af286,"[""ed1b17ce-3770-49ed-b478-e6d91847e319"", ""a824fa91-f2c5-4f5f-a948-dd2784076ebd"", ""f84944a3-fea5-4571-b589-7e6cf37af286"", ""80405a0d-8bd4-42bc-bc52-624341e4053d"", ""6b3978a3-97ec-4ae7-998b-435a0e681d80""]",2025-08-09T22:11:11.907382
10f03bc5-97b1-45bd-9849-c26a35455e36,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,opponent_shot_on_target,894,1,,[],2025-08-09T22:11:11.906122
219a0945-5e48-4d10-96cb-1bc03fa6552f,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,shot_on_target,689,1,57f5858d-a561-4e84-b86b-20fe0ee2c00f,"[""ed1b17ce-3770-49ed-b478-e6d91847e319"", ""551cd810-e6d3-4196-b540-557bdee0386a"", ""3ead9336-738f-49e8-a94f-714be9fd3431"", ""57f5858d-a561-4e84-b86b-20fe0ee2c00f"", ""bf71f67c-beb7-4fa8-bfd2-0ae15bb917c2""]",2025-08-09T22:11:11.906227
b114918c-299d-473f-a1de-10ca44598381,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,ball_loss,345,2,551cd810-e6d3-4196-b540-557bdee0386a,"[""437901cc-63ae-4dd5-ab0e-d84076e529c1"", ""80405a0d-8bd4-42bc-bc52-624341e4053d"", ""6b3978a3-97ec-4ae7-998b-435a0e681d80"", ""551cd810-e6d3-4196-b540-557bdee0386a"", ""3ead9336-738f-49e8-a94f-714be9fd3431""]",2025-08-09T22:11:11.907783
84a69727-81a0-4073-97d9-3557fa956091,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,opponent_goal,949,1,,[],2025-08-09T22:11:11.905286
c871142d-ba38-4f1e-82b2-59d6f4cc784e,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,recovery,532,1,f84944a3-fea5-4571-b589-7e6cf37af286,"[""437901cc-63ae-4dd5-ab0e-d84076e529c1"", ""a824fa91-f2c5-4f5f-a948-dd2784076ebd"", ""f84944a3-fea5-4571-b589-7e6cf37af286"", ""80405a0d-8bd4-42bc-bc52-624341e4053d"", ""6b3978a3-97ec-4ae7-998b-435a0e681d80""]",2025-08-09T22:11:11.907483
c1505e23-4371-4fdc-8f18-1971aef69935,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,ball_loss,521,2,f84944a3-fea5-4571-b589-7e6cf37af286,"[""437901cc-63ae-4dd5-ab0e-d84076e529c1"", ""a824fa91-f2c5-4f5f-a948-dd2784076ebd"", ""f84944a3-fea5-4571-b589-7e6cf37af286"", ""80405a0d-8bd4-42bc-bc52-624341e4053d"", ""6b3978a3-97ec-4ae7-998b-435a0e681d80""]",2025-08-09T22:11:11.908125
a45c4c60-f5f2-4428-b4a2-8c8a9c4c956e,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,opponent_shot_on_target,279,1,,[],2025-08-09T22:11:11.906326
c8f9c4b6-e6c7-40e9-9c38-aedc5d6ec138,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,ball_loss,1007,1,3ead9336-738f-49e8-a94f-714be9fd3431,"[""ed1b17ce-3770-49ed-b478-e6d91847e319"", ""80405a0d-8bd4-42bc-bc52-624341e4053d"", ""6b3978a3-97ec-4ae7-998b-435a0e681d80"", ""551cd810-e6d3-4196-b540-557bdee0386a"", ""3ead9336-738f-49e8-a94f-714be9fd3431""]",2025-08-09T22:11:11.907563
f932fb6e-b2e3-4feb-b426-4d66d4c4fa19,f4578a81-2d62-4a9a-bd11-c19b70bbd1ad,shot_on_target,744,1,bf71f67c-beb7-4fa8-bfd2-0ae15bb917c2,"[""ed1b17ce-3770-49ed-b478-e6d91847e319"", ""551cd810-e6d3-4196-b540-557bdee0386a"", ""3ead9336-738f-49e8-a94f-714be9fd3431"", ""57f5858d-a561-4e84-b86b-20fe0ee2c00f"", ""bf71f67c-beb7-4fa8-bfd2-0ae15bb917c2""]",2025-08-09T22:11:11.905846
